Title,Date,Venue/Journal,Authors,Key word list
Mobility Prediction for Delay Reduction in WLAN using Location Tracking and Data Mining,2012,Arxiv,Lourdes Matha,"['Mobility management', 'Handover', '+3']"
An Intelligent Mobility Prediction Scheme for Location-Based Service over Cellular Communications Network,2012,Arxiv,Mohammad Sh. Daoud,"['Robustness (computer science)', 'Real-time computing', '+8']"
Resource Reservation Based On Mobility Prediction in Personal Communication Systems,2010,Networking and Communication Engineering,"T. Shankar, A. Karthikeyan, V. Srividhya, R. Suresh","['Real-time computing', 'Mobility management', '+4']"
A Filter Seal Model for Point Mobility Prediction of Air Induction Systems,2006,Arxiv,"Hong Su, David Moenssen, Chris Shaw, John Kostun","['Engineering', 'Control engineering', 'CITE']"
A Mobility Prediction Based Fast and Hierarchical Mobile Multicast Architecture,2009,Arxiv,Wang Gang,"['Xcast', 'Source-specific multicast', 'Protocol Independent Multicast']"
ONTOLOGY-BAESED MOBILITY PREDICTION SYSTEM USING VELOCITY INFERENCE AND METHOD THEREOF,2011,Arxiv,"Lee Jong Sik, Ma Yong Beom","['Ontology', 'Inference', '+2']"
Nahtlose mobile Dienste mittels MobilitÃ_tsvorhersage Seamless mobile services using mobility prediction,2002,Arxiv,"Yoko Kikuta, Kenji Sakamoto, Tsutomu Yokoyama, Kenichi Yamazaki","['Computer network', 'Business', 'CITE']"
A Seamless Handover Scheme Based on Path-Prediction for Network Mobility,2005,Arxiv,"Park Hee-Dong, Kwon Yong-Ha, Lee Kang-Won, Choi Young-Soo, Cho You-Ze","['Soft handover', 'Router', 'Real-time computing']"
Molecular Structural Characterization and Quantitative Prediction of Reduced Ion Mobility Constants for Diversified Organic Compounds,2008,Chinese Journal of Structural Chemistry,"He, Liu, Liang, Gui-Zhao, Li","['-Zhaob,c LI Zhi-Lianga,b,câ‘¡ a', 'Topological index', 'Organic chemistry']"
A UPnP A/V Multimedia System using Prediction of Mobility for Mobile User,2009,Arxiv,"Kyung-Deok Kim, E-Gun Jung","['Real Time Streaming Protocol', 'Multimedia', '+7']"
An Algorithm usingJoin/Prune Mechanismsto Improve Handoff aidedby Mobility Prediction in,2010,Arxiv,"Suresh Venkatachalaiah, J. Harrist","['Computer science', 'Computer network', 'CITE']"
Routing prediction for probabilistic mobility model using neural networks for ad-hoc networks,2010,Arxiv,Mohammad Rahil Rafiq,"['Probabilistic logic', 'Mobility model', '+4']"
Analytical derivation of composite mobility peaks for multiple atmospheric ions in equilibrium : Verification of Mohnen's prediction,2008,Journal of atmospheric electricity,"K Iinuma, N Sasaki","['Materials science', 'Ion', '+3']"
Leaching And Mobility Prediction Of Nine Pesticides In Soils,2003,Arxiv,"Chan-Sub Kim, Byung-Jun Park, Kyung-Hun Park, Jin-Bae Kim","['Soil science', 'Pesticide', '+3']"
A History-Based Mobility Prediction Algorithm for Vertical Handover,2008,Arxiv,"In-Whee Joe, Sung-Chan Hong","['Real-time computing', 'Network simulation', '+4']"
QoS Provisioning in WCDMA 3G Networks using Mobility Prediction,2007,Arxiv,"T. Rachidi, M. Benkirane, H. Bouzekri","['User equipment', 'Quality of service', 'Provisioning']"
Prediction Accuracy Enhancement Based on Adaptive Reporting Schemes of Mobile's Mobility Status Information,2007,Arxiv,"Yong-Chae Ko, Jung-Hwa Bae, Jin-Woo Park","['Reservation', 'Mobility status', '+7']"
Resource Allocation and Mobility Prediction Algorithms for Multimedia Wireless Cellular Networks,2008,Arxiv,Maher Ali Al-Sanabani,"['Resource allocation', 'Real-time computing', '+10']"
Molecular Structural Characteristics of Singly Protonated Peptides for Proteins and Quantitative Prediction of Collision Cross Section for Ion Mobility Spectrometry,2006,Journal of Chinese Mass Spectrometry Society,"Zeng Hui, Li Zhi-liang, Zhao Na, Zhang Qiao-xia, Mei Hu","['Spectroscopy', 'Selectivity', 'Quantitative structureâ€“activity relationship']"
Improvement of handoff in wireless networks using mobility prediction and multicasting techniques,2005,WSEAS TRANSACTIONS on COMMUNICATIONS archive,"S Venkatachalaiah, R Suryasaputra, R Harris","['Spanning Tree Protocol', 'Packet loss', '+8']"
A METHOD FOR PREDICTION OF PARTITION TIME IN GROUP MOBILITY,2006,Arxiv,"Ha Nam Koo, Lee Byeong Jik, Kim Kyung Jun, Noh Jae Hwan, Cho Chi Woo","['Partition (number theory)', 'Mathematics', 'Mathematical optimization']"
New multicast scheme based on Dynamic mobility prediction in mobile IPv6 environment,2007,Arxiv,"é»„å›_ç››, é™ˆå¿—åˆ_, èµµæ˜_, ç_‹è·¯éœ_, éœçè‹±","['Quality of service', 'Multicast', 'Mobile IP']"
A Mobility Prediction Scheme using a User's Mobility Pattern in Wireless Networks,2004,The Kips Transactions:partc,"Se-Dong Kwon, Hyun-Min Park","['Wireless', 'Mobility model', '+5']"
Resource Reservation forHandoff UsingLocation-Aided Mobility Prediction,2006,Arxiv,Qinghai Yang,"['Reservation', 'Mobile station', '+5']"
A Link-Quality Aware Multicast Routing Protocol for Mobile Ad Hoc Networks with Mobility Prediction,2006,Arxiv,"N.-C. Wang, Y.-S. Chen","['Protocol Independent Multicast', 'Optimized Link State Routing Protocol', '+7']"
Prediction assisted fast handovers for seamless IP mobility,2006,Arxiv,Andre E Bergh,"['Computer science', 'CITE', 'share']"
Mobility prediction based bandwidth allocation in wireless mobile networks,2006,Arxiv,G Sivaradge,"['Mobility model', 'Dynamic bandwidth allocation', '+3']"
"B-21-38 Routing Algorithm for Ad Hoc Networks using Mobility Prediction(B-21. ã‚¢ãƒ‰ãƒ›ãƒƒã‚¯ãƒçãƒƒãƒˆãƒ¯ãƒ_ã‚¯, é€_ä¿¡2)",2005,Arxiv,"Creixell Werner, Kaoru Sezaki","['Optimized Link State Routing Protocol', 'Link-state routing protocol', '+7']"
A Mobility Prediction Scheme using a User's Mobility Pattern in Wireless Networks,2004,The Kips Transactions:partc,"ê¶Œì„¸ëè™, ë°•í˜„ë¯_","['Wireless', 'Mobility model', '+5']"
A quality of service routing protocol based on mobility prediction in mobile ad hoc networks,2003,Arxiv,"ç_‹å»ºæ–°, é‚“æ›™å…‰, é™ˆæù_ä_”, é™ˆå»ºäºŒ","['Wireless Routing Protocol', 'Path vector protocol', '+7']"
Adaptive Quality Of Service Call Admission Control With User Mobility Prediction For Multimedia Traffic Over Wireless Networks,2003,Arxiv,Prihandoko,"['Real-time computing', 'Quality of service', '+9']"
ë¬´ì„  ATMì—êì„œ í_¨ìœ¨ì Å ì±„ë„ê í• ë‹_ìù„ ìœ„í•œ ìù´ëè™ì„± ì˜ˆì¸¡ í•¸ë“œì˜_ë_„ ì•Œê_ ë_¬ì_˜ ( A Mobility Prediction Handover Algorithm For Effective Channel Assignment in Wireless ATM ),2001,Arxiv,"ê_€í›ˆê¸°, ì •ì_¬ìù_","['Handover', 'Geography', '+2']"
"Telematics and public transport evolution - new players on the market, THINK-UP -Thematic network to understand mobility prediction,",2001,Arxiv,Tristan Chevroulet,"['Thematic map', 'Telematics', '+2']"
Intelligent Mobility Prediction using Neuro-Fuzzy Inference Systems in Mobile Computing Systems,1999,Journal of KIISE:Computer Systems and Theory,"Jun-Min Gil, Chan-Yeol Park, Gwon-U Yang, Yeon-Hui Han, Jong-Seon Hwang","['Neuro-fuzzy', 'Mobility model', '+5']"
Prediction of Ship Manoeuvrability: a tool for handling the mobility problem,2000,Arxiv,Katrien Eloot,"['Marine engineering', 'Engineering', 'CITE']"
Originâ€“destination trips by purpose and time of day inferred from mobile phone data,2015,Transportation Research Part C-emerging Technologies,"Lauren Alexander, Shan Jiang, Mikel Murga, Marta C. GonzÃ¡lez","['Trip distribution', 'Transport engineering', 'TRIPS architecture']"
Heterogeneous Mobile Phone Ownership and Usage Patterns in Kenya,2012,PLOS ONE,"Amy Wesolowski1, Nathan Eagle2, Abdisalan M. Noor3, Robert W. Snow3, Caroline O. Buckee2","['2Harvard University,', '3University of Oxford', 'mHealth']"
Inferring user demographics and social strategies in mobile social networks,2014,Knowledge Discovery and Data Mining,"Yuxiao Dong1, Yang Yang2, Jie Tang2, Nitesh V. Chawla1","['2Tsinghua University', 'Special case', 'Social network']"
Uncovering Patterns of Inter-Urban Trip and Spatial Interaction from Social Media Check-In Data,2014,PLOS ONE,"Yu Liu, Zhengwei Sui, Chaogui Kang, Yong Gao","['TRIPS architecture', 'Specific gravity', 'Spatial network']"
Activity-Based Human Mobility Patterns Inferred from Mobile Phone Data: A Case Study of Singapore,2017,IEEE Transactions on Big Data,"Shan Jiang, Joseph Ferreira, Marta C. Gonzalez","['Urban computing', 'Travel survey', 'Transportation planning']"
Proactive content download and user demand shaping for data networks,2015,IEEE ACM Transactions on Networking,"John Tadrous, Atilla Eryilmaz, Hesham El Gamal","['Wireless network', 'User requirements document', 'Resource management']"
Mobility prediction-based smartphone energy optimization for everyday location monitoring,2011,International Conference on Embedded Networked Sensor Systems,"Yohan Chon, Elmurod Talipov, Hyojeong Shin, Hojung Cha","['Software deployment', 'Schedule', 'Real-time computing']"
Taxi-aware map: identifying and predicting vacant taxis in the city,2010,Ambient Intelligence,"Santi Phithakkitnukoon1, Marco Veloso2, Carlos Bento2, Assaf Biderman1, Carlo Ratti1","['2University of Coimbra', 'Taxis', 'Smart city']"
Geospatial Big Data,2015,Big Data Research,"Jae-Gil Lee, Minseo Kang","['Urban planning', 'Spatial analysis', 'Mobile device']"
All your location are belong to us: breaking mobile social networks for automated user location tracking,2014,Mobile Ad Hoc Networking and Computing,"Muyuan Li1, Haojin Zhu2, Zhaoyu Gao2, Si Chen1, Le Yu2","['1University at Buffalo,', '2Shanghai Jiao Tong University', 'Tracking system']"
Approaching the Limit of Predictability in Human Mobility,2013,Scientific Reports,"Xin Lu, Erik Wetter, Nita Bharti, Andrew J. Tatem, Linus Bengtsson","['Predictive power', 'Predictability', '+4']"
Big Data for Social Transportation,2016,IEEE Transactions on Intelligent Transportation Systems,"Xinhu Zheng1, Wei Chen2, Pu Wang3, Dayong Shen4, Songhang Chen5","['1University of Minnesota,', '2Zhejiang University,', '3Central South University,']"
Exploring universal patterns in human home-work commuting from mobile phone data.,2014,PLOS ONE,"Kevin S. Kung, Kael Greco, Stanislav Sobolevsky, Carlo Ratti","['Mobile phone', 'Global Positioning System', 'Data mining']"
A new insight into land use classification based on aggregated mobile phone data,2014,International Journal of Geographical Information Science,"Tao Pei1, Stanislav Sobolevsky1, Carlo Ratti1, Shih-Lung Shaw2, Ting Li3","['1Massachusetts Institute of Technology,', '2Wuhan University,', '3State Key Laboratory of Resources and Environmental Information System, Institute of Geographic Sciences and Natural Resources Research, CAS, Beijing, China']"
Measuring Large-Scale Social Networks with High Resolution,2014,PLOS ONE,"Arkadiusz Stopczynski1, Vedran Sekara1, Piotr Sapiezynski1, Andrea Cuttone1, Mette My Madsen2","['1Technical University of Denmark,', '2University of Copenhagen', 'Software deployment']"
Mining mobility user profiles for car pooling,2011,Knowledge Discovery and Data Mining,"Roberto Trasarti, Fabio Pinelli, Mirco Nanni, Fosca Giannotti","['Satisfiability', 'Robustness (computer science)', 'Pooling']"
Collective Human Mobility Pattern from Taxi Trips in Urban Area,2012,PLOS ONE,"Chengbin Peng1, 2, Xiaogang Jin2, Ka-Chun Wong1, Meixia Shi2, Pietro LiÃ_3","['2Zhejiang University,', '3University of Cambridge', 'Traffic flow']"
Smart Meter Driven Segmentation: What Your Consumption Says About You,2013,IEEE Transactions on Power Systems,"Adrian Albert, Ram Rajagopal","['Time series', 'Smart meter', 'Segmentation']"
Once Upon a Crime: Towards Crime Prediction from Demographics and Mobile Data,2014,International Conference on Multimodal Interfaces,"Andrey Bogomolov1, Bruno Lepri2, Jacopo Staiano1, Nuria Oliver3, Fabio Pianesi2","['1University of Trento,', '2FBK, Trento, Italy,', '3TelefÃ_nica']"
Proactive Resource Allocation: Harnessing the Diversity and Multicast Gains,2013,IEEE Transactions on Information Theory,"John Tadrous, Atilla Eryilmaz, Hesham El Gamal","['Wireless network', 'Resource allocation', 'Real-time computing']"
Smart cities of the future,2012,European Physical Journal-special Topics,"M. Batty1, K. W. Axhausen2, F. Giannotti3, A. Pozdnoukhov4, A. Bazzani5","['1University College London,', '2IVT, ETH,', '3Universit di Pisa,']"
Link prediction in social networks: the state-of-the-art,2015,Science in China Series F: Information Sciences,"Peng Wang1, 2, Baowen Xu1, 2, 3, Yurong Wu2, Xiaoyu Zhou2","['2Southeast University,', '3Nanjing University', 'Social network']"
Unveiling the complexity of human mobility by querying and mining massive trajectory data,2011,Very Large Data Bases,"Fosca Giannotti1, Mirco Nanni2, Dino Pedreschi1, Fabio Pinelli2, Chiara Renso2","['1Northeastern University,', ""2Istituto di Scienza e Tecnologie dell'Informazione"", 'Wireless network']"
LCARS: a location-content-aware recommender system,2013,Knowledge Discovery and Data Mining,"Hongzhi Yin1, Yizhou Sun2, Bin Cui1, Zhiting Hu1, Ling Chen3","['2Northeastern University,', '3University of Technology, Sydney', 'Speedup']"
A survey of results on mobile phone datasets analysis,2015,EPJ Data Science,"Vincent D Blondel, Adeline Decuyper, Gautier Krings","['Urban planning', 'Social network', 'Personal mobility']"
Exploiting homophily effect for trust prediction,2013,Web Search and Data Mining,"Jiliang Tang, Huiji Gao, Xia Hu, Huan Liu","['Optimization problem', 'Homophily', 'Data mining']"
A Random Walk around the City: New Venue Recommendation in Location-Based Social Networks,2012,"Privacy, Security, Risk and Trust","Anastasios Noulas, Salvatore Scellato, Neal Lathia, Cecilia Mascolo","['Social network', 'Social Welfare', 'Recommender system']"
Urban Sensing Using Mobile Phone Network Data: A Survey of Research,2015,ACM Computing Surveys,"Francesco Calabrese1, Laura Ferrari2, Vincent D. Blondel3","['2University of Modena and Reggio Emilia,', '3UniversitÃ© catholique de Louvain', 'Urban planning']"
Inferring user demographics and social strategies in mobile social networks,2014,Knowledge Discovery and Data Mining,"Yuxiao Dong1, Yang Yang2, Jie Tang2, Nitesh V. Chawla1","['2Tsinghua University', 'Special case', 'Social network']"
Meta-path based multi-network collective link prediction,2014,Knowledge Discovery and Data Mining,"Jiawei Zhang1, Philip S. Yu1, Zhi Hua Zhou2","['2Nanjing University', 'Transfer of learning', 'Social network']"
An Evolutionary Algorithm Approach to Link Prediction in Dynamic Social Networks,2014,Journal of Computational Science,"Catherine A. Bliss, Morgan R. Frank, Christopher M. Danforth, Peter Sheridan Dodds","['Social network', 'Network dynamics', 'Machine learning']"
Scaling identity connects human mobility and social interactions,2016,Proceedings of the National Academy of Sciences of the United States of America,"Pierre Deville1, 2, Chaoming Song3, Nathan Eagle1, Vincent D. Blondel2, Albert LÃ¡szlÃ_ BarabÃ¡si1, 4, 5","['1Northeastern University,', '2UniversitÃ© catholique de Louvain,', '3University of Miami,']"
Link Prediction and Recommendation across Heterogeneous Social Networks,2012,International Conference on Data Mining,"Yuxiao Dong1, Jie Tang1, Sen Wu2, Jilei Tian2, Nitesh V. Chawla3","['1University of Notre Dame,', '2Tsinghua University,', '3Nokia']"
Clustering daily patterns of human activities in the city,2012,Data Mining and Knowledge Discovery,"Shan Jiang, Joseph Ferreira, Marta C. GonzÃ¡lez","['Urban studies', 'Travel survey', 'Transportation planning']"
Exploring the mobility of mobile phone users,2013,Physica A-statistical Mechanics and Its Applications,"BalÃ¡zs CsanÃ¡d CsÃ¡ji1, 2, Arnaud Browet3, Vincent A. Traag3, Jean-Charles Delvenne3, Etienne Huens3","['1Hungarian Academy of Sciences,', '2University of Melbourne,', '3UniversitÃ© catholique de Louvain']"
Mining social media with social theories: a survey,2014,Sigkdd Explorations,"Jiliang Tang1, Yi Chang2, Huan Liu1","['2Yahoo!', 'Social theory', 'Social network']"
Social recommender systems,2011,The Web Conference,"Ido Guy, David Carmel","['World Wide Web', 'Social web', 'Social media']"
Big graph mining: algorithms and discoveries,2013,Sigkdd Explorations,"U. Kang, Christos Faloutsos","['Social network', 'Ranging', 'Linear scale']"
Fundamental structures of dynamic social networks,2016,Proceedings of the National Academy of Sciences of the United States of America,"Vedran Sekara1, Arkadiusz Stopczynski1, 2, Sune Lehmann1, 3","['2Massachusetts Institute of Technology,', '3University of Copenhagen', 'Social structure']"
Quantifying information flow during emergencies.,2015,Scientific Reports,"Liang Gao1, 2, Chaoming Song3, Ziyou Gao2, Albert LÃ¡szlÃ_ BarabÃ¡si1, 4, James P. Bagrow5, 6","['1Northeastern University,', '2Beijing Jiaotong University,', '3University of Miami,']"
Location prediction in social media based on tie strength,2013,Conference on Information and Knowledge Management,"Jeffrey McGee, James Caverlee, Zhiyuan Cheng","['Social media', 'Maximum likelihood', 'Estimator']"
Coupling human mobility and social ties,2015,Journal of the Royal Society Interface,"Jameson L. Toole1, Carlos Herrera-YaqÃ_e1, 2, Christian M. Schneider1, Marta C. GonzÃ¡lez1","['2Technical University of Madrid', 'Social psychology', 'Social network']"
Personal Sensing: Understanding Mental Health Using Ubiquitous Sensors and Machine Learning,2017,Annual Review of Clinical Psychology,"David C Mohr1, Mi Zhang2, Stephen Matthew Schueller1","['2Michigan State University', 'mHealth', 'Wearable computer']"
Simplicial closure and higher-order link prediction,2018,Proceedings of the National Academy of Sciences of the United States of America,"Austin R. Benson1, Rediet Abebe1, Michael T. Schaub2, 3, Ali Jadbabaie3, Jon M. Kleinberg1","['2University of Oxford,', '3Massachusetts Institute of Technology', 'Pairwise comparison']"
Mesoscopic Structure and Social Aspects of Human Mobility,2012,PLOS ONE,"James P. Bagrow1, 2, Yu-Ru Lin1, 3","['2Northwestern University,', '3Harvard University', 'Urban planning']"
Negative Link Prediction in Social Media,2015,Web Search and Data Mining,"Jiliang Tang1, Shiyu Chang2, Charu C. Aggarwal3, Huan Liu1","['2University of Illinois at Urbanaâ€“Champaign,', '3IBM', 'Social network']"
Mobility-aware caching for content-centric wireless networks: modeling and methodology,2016,IEEE Communications Magazine,"Rui Wang, Xi Peng, Jun Zhang, Khaled Ben Letaief","['Wireless network', 'Wireless', 'Network architecture']"
Characterizing User Behavior in Mobile Internet,2015,IEEE Transactions on Emerging Topics in Computing,"Jie Yang, Yuanyuan Qiao, Xinyu Zhang, Haiyang He, Fang Liu","['Beijing University of Posts and Telecommunications', 'The Internet', 'Mobility model']"
Transferring heterogeneous links across location-based social networks,2014,Web Search and Data Mining,"Jiawei Zhang, Xiangnan Kong, Philip S. Yu","['Transfer of learning', 'Social network', 'Social group']"
Happiness and the Patterns of Life: A Study of Geolocated Tweets,2013,Scientific Reports,"Morgan R. Frank, Lewis Mitchell, Peter Sheridan Dodds, Christopher M. Danforth","['Sentiment analysis', 'Rendering (computer graphics)', '+7']"
A planetary nervous system for social mining and collective awareness,2012,European Physical Journal-special Topics,"Fosca Giannotti1, Dino Pedreschi2, Alex Pentland3, Paul Lukowicz4, Donald Kossmann5","['1National Research Council,', '2University of Pisa,', '3Massachusetts Institute of Technology,']"
LCARS: A Spatial Item Recommender System,2014,ACM Transactions on Information Systems,"Hongzhi Yin1, Bin Cui1, Yizhou Sun2, Zhiting Hu1, Ling Chen3","['2Northeastern University,', '3University of Technology, Sydney', 'Speedup']"
Localization Challenges for the Emergence of the Smart World,2015,IEEE Access,"Kaveh Pahlavan1, Prashant Krishnamurthy2, Yishuang Geng1","['2University of Pittsburgh', 'Global Positioning System', 'Feature extraction']"
Potential Theory for Directed Networks,2013,PLOS ONE,"Qian-Ming Zhang1, Linyuan LÃ_2, 3, Wen-Qiang Wang1, Yu-Xiao1, Tao Zhou1","['2University of Fribourg,', '3Hangzhou Normal University', 'Potential theory']"
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,2015,Knowledge Discovery and Data Mining,"Yingzi Wang1, Nicholas Jing Yuan2, Defu Lian3, Linli Xu1, Xing Xie2","['1University of Science and Technology of China,', '2Microsoft,', '3University of Electronic Science and Technology of China']"
Entangling Mobility and Interactions in Social Media,2014,PLOS ONE,"Przemyslaw A. Grabowicz1, 2, JosÃ© J. Ramasco1, Bruno GonÃ§alves3, 4, VÃ_ctor M. EguÃ_luz1","['2Max Planck Society,', '3Aix-Marseille University,', '4University of the South, Toulon-Var']"
Epidemic Contact Tracing via Communication Traces,2014,PLOS ONE,"Katayoun Farrahi1, RÃ©mi Emonet2, Manuel Cebrian3, 4","['2Department of Machine Learning, Laboratoire Hubert Curien, Saint-Etienne, France,', '3University of California, San Diego,', '4Massachusetts Institute of Technology']"
Predicting Social Links for New Users across Aligned Heterogeneous Social Networks,2013,International Conference on Data Mining,"Jiawei Zhang, Xiangnan Kong, Philip S. Yu","['Social network', 'Machine learning', 'Feature extraction']"
Roadmap for Music Information ReSearch,2013,Arxiv,"Xavier Serra, Michela Magas, Emmanouil Benetos, Magdalena Chudy, S. Dixon","['Multimedia', 'Computer science', 'CITE']"
State-of-the-Art Deep Learning: Evolving Machine Intelligence Toward Tomorrowâ€™s Intelligent Network Traffic Control Systems,2017,IEEE Communications Surveys and Tutorials,"Zubair Md. Fadlullah1, Fengxiao Tang1, Bomin Mao1, Nei Kato1, Osamu Akashi2","['1Tohoku University,', '2Harvard University', 'The Internet']"
Evaluating link prediction methods,2015,Knowledge and Information Systems,"Yang Yang, Ryan N. Lichtenwalter, Nitesh V. Chawla","['Sampling (statistics)', 'Receiver operating characteristic', 'Mathematical proof']"
From traces to trajectories: How well can we guess activity locations from mobile phone traces?,2014,Transportation Research Part C-emerging Technologies,"Cynthia Chen1, Ling Bian2, Jingtao Ma3","['2State University of New York System,', '3Traffic Technology Solutions, LLC, 17933 NW Evergreen Pkwy, Suite 121, Beaverton, OR 97006, United States', 'Travel survey']"
CoupledLP: Link Prediction in Coupled Networks,2015,Knowledge Discovery and Data Mining,"Yuxiao Dong1, Jing Zhang2, Jie Tang2, Nitesh V. Chawla1, Bai Wang3","['2Tsinghua University,', '3Beijing University of Posts and Telecommunications', 'Organizational network analysis']"
Mobile phone tracking: in support of modelling traffic-related air pollution contribution to individual exposure and its implications for public health impact assessment,2013,Environmental Health,"Hai Ying Liu1, Erik Skjetne2, Michael John Kobernus1","['2Statoil', 'Population', 'Pollution']"
One plus one makes three (for social networks).,2012,PLOS ONE,"EmÃ¶ke ÃÅgnes HorvÃ¡t1, Michael Hanselmann2, Fred A. Hamprecht2, Katharina A. Zweig1, 2","['2Heidelberg University', 'The Internet', 'Social network']"
A large-scale community structure analysis in Facebook,2012,EPJ Data Science,Emilio Ferrara,"['Indiana University Bloomington', 'Social studies', 'Social network']"
On Optimal Proactive Caching for Mobile Networks With Demand Uncertainties,2016,IEEE ACM Transactions on Networking,"John Tadrous1, Atilla Eryilmaz2","['2Ohio State University', 'Service provider', 'Real-time computing']"
A SURVEY OF CONTEXT-AWARE MOBILE RECOMMENDATIONS,2013,International Journal of Information Technology and Decision Making,"Qi Liu, Haiping Ma, Enhong Chen, Hui Xiong","['Recommender system', 'Exploit', '+2']"
Density-based place clustering in geo-social networks,2014,International Conference on Management of Data,"Jieming Shi, Nikos Mamoulis, Dingming Wu, David W. Cheung","['Fuzzy clustering', 'Database', 'Data stream clustering']"
The Ecology of Human Mobility,2017,Trends in Ecology and Evolution,"Mark G. Meekan1, Carlos M. Duarte2, Juan FernÃ¡ndez-Gracia3, Michael Thums1, Ana M. M. Sequeira4","['1Australian Institute of Marine Science,', '2King Abdullah University of Science and Technology,', '3Harvard University,']"
Elastic pathing: your speed is enough to track you,2014,Ubiquitous Computing,"Xianyi Gao, Bernhard Firner, Shridatt Sugrim, Victor Kaiser-Pendergrast, Yulong Yang","['Rutgers University', 'Simulation', 'Intrusion']"
Evidence That Calls-Based and Mobility Networks Are Isomorphic,2015,PLOS ONE,"Michele Coscia, Ricardo Hausmann","['Text mining', 'Social relation', 'Social network']"
Reconstructing Individual Mobility from Smart Card Transactions: A Space Alignment Approach,2013,International Conference on Data Mining,"Nicholas Jing Yuan1, Yingzi Wang2, Fuzheng Zhang2, Xing Xie1, Guangzhong Sun2","['2University of Science and Technology of China', 'Uncertain data', 'TRIPS architecture']"
Topological Properties and Temporal Dynamics of Place Networks in Urban Environments,2015,The Web Conference,"Anastasios Noulas1, Blake Shaw2, Renaud Lambiotte3, Cecilia Mascolo1","['2Foursquare, New York, USA,', '3UniversitÃ© de Namur', 'World Wide Web']"
A multilayer approach to multiplexity and link prediction in online geo-social networks,2016,EPJ Data Science,"Desislava Hristova1, Anastasios Noulas2, ChloÃ« Brown1, Mirco Musolesi3, Cecilia Mascolo1","['2Lancaster University,', '3University College London', 'Social system']"
Attributed Network Embedding for Learning in a Dynamic Environment,2017,Conference on Information and Knowledge Management,"Jundong Li1, Harsh Dani1, Xia Hu2, Jiliang Tang3, Yi Chang4","['1Arizona State University,', '2Texas A&M University,', '3Michigan State University,']"
Scalable Daily Human Behavioral Pattern Mining from Multivariate Temporal Data,2016,IEEE Transactions on Knowledge and Data Engineering,"Reza Rawassizadeh1, Elaheh Momeni2, Chelsea Dobbins3, Joobin Gharibshah4, Michael Pazzani4","['2University of Vienna,', '3Liverpool John Moores University,', '4University of California, Riverside']"
A framework for dynamic link prediction in heterogeneous networks,2014,Statistical Analysis and Data Mining,"Charu C. Aggarwal1, Yan Xie2, Philip S. Yu3, 4","['2Oracle Corporation,', '3University of Illinois at Chicago,', '4King Abdulaziz University']"
Discovering links among social networks,2012,European conference on Machine Learning,"Francesco Buccafurri, Gianluca Lax, Antonino Nocera, Domenico Ursino","['Social network', 'Internetworking', 'Distributed computing']"
Discovering the Geographical Borders of Human Mobility,2012,KÃ_nstliche Intelligenz,"Salvatore Rinzivillo1, Simone Mainardi2, Fabio Pezzoni2, Michele Coscia1, Dino Pedreschi2","[""1Istituto di Scienza e Tecnologie dell'Informazione,"", '2University of Pisa', 'Simulation']"
Human Mobility: Models and Applications,2018,Physics Reports,"Hugo Barbosa1, Marc Barthelemy2, 3, Gourab Ghoshal1, Charlotte R. James4, Maxime Lenormand5","['1University of Rochester,', '2School for Advanced Studies in the Social Sciences,', '3Centre national de la recherche scientifique,']"
On service discovery in mobile social networks,2015,Computer Networks,"Michele Girolami1, Stefano Chessa1, Antonio Caruso2","['2University of Salento', 'Social network', 'Shared resource']"
When and where: Predicting human movements based on social spatial-temporal events,2014,SIAM International Conference on Data Mining,"Ning Yang1, Xiangnan Kong2, Fengjiao Wang2, Philip S. Yu2","['2University of Illinois at Chicago', 'Ranking', 'Pattern recognition']"
Behavioral entropy and profitability in retail,2015,IEEE International Conference on Data Science and Advanced Analytics,"Riccardo Guidotti1, Michele Coscia2, Dino Pedreschi3, Diego Pennacchioli1","['2Harvard University,', '3University of Pisa', 'Revenue']"
Optimal Spatial Resolution for the Analysis of Human Mobility,2012,Advances in Social Networks Analysis and Mining,"Michele Coscia1, Salvatore Rinzivillo2, Fosca Giannotti3, Dino Pedreschi3","['2KDDLab ISTI, Pisa, Italy,', '3University of Pisa', 'Versa']"
Online community detection in social sensing,2013,Web Search and Data Mining,"Guo Jun Qi1, Charu C. Aggarwal2, Thomas S Huang1","['2IBM', 'Participatory sensing', 'Online community']"
Collection and analysis of multi-dimensional network data for opportunistic networking research,2012,Computer Communications,"Theus Hossmann1, George Nomikos1, Thrasyvoulos Spyropoulos2, Franck Legendre1","['2Institut EurÃ©com', 'Wireless', 'Social relation']"
Privacy-by-design in big data analytics and social mining,2014,EPJ Data Science,"Anna Monreale1, 2, Salvatore Rinzivillo2, Francesca Pratesi1, 2, Fosca Giannotti2, Dino Pedreschi1","[""2Istituto di Scienza e Tecnologie dell'Informazione"", 'Publication', 'Privacy software']"
Using link semantics to recommend collaborations in academic social networks,2013,The Web Conference,"Michele A. BrandÃ£o1, Mirella M. Moro1, Giseli Rabello Lopes2, JosÃ© Palazzo Moreira de Oliveira3","['2PontifÃ_cia Universidade CatÃ_lica do Rio de Janeiro, Rio de Janeiro, Brazil,', '3Universidade Federal do Rio Grande do Sul', 'World Wide Web']"
